biblio_id,judul,ada_gbooks,konsisten,fabrikasi,catatan
6838,Belajar cepat windows server 2008,False,5,True,"Deskripsi sangat konsisten dengan judul dan topik yang diberikan, membahas secar"
1023,Seni dekorasi janur dan Ronce Bunga Melati,False,5,True,"Deskripsi sangat konsisten dengan judul dan topik yang diberikan, membahas tekni"
224,Merakit PLC dengan mikrokontroler,False,5,True,"Deskripsi sangat konsisten dengan judul dan topik yang diberikan, membahas integ"
8074,Geothermal HVAC : Green heating and cooling,False,5,False,Deskripsi sangat konsisten dengan judul dan topik yang diberikan. Semua informas
2674,Kompendium ekonomika terutama untuk para nonekonom,False,5,False,Deskripsi sangat konsisten dengan judul dan topik yang diberikan. Deskripsi menc
2371,Organisasi dalam praktek,False,5,False,Deskripsi sangat konsisten dengan judul dan topik yang diberikan. Semua konsep y
2143,Queen Kilisuci And Stories of Reyog,False,1,True,Deskripsi tidak konsisten dengan judul dan topik buku. Judul 'Queen Kilisuci And
1297,Ekonometrik,False,5,True,"Deskripsi sangat konsisten dengan judul dan topik buku, namun menyatakan fakta s"
8019,Digital diagram,False,5,True,"Deskripsi sangat konsisten dengan judul dan topik yang diberikan, menjelaskan te"
937,Practice and procedure for the quantity surveyor,False,1,True,"Deskripsi sistem membahas buku yang berbeda, yaitu 'The Architect in Practice', "
7281,"Information design workbook : graphic approaches, ",False,5,False,Deskripsi sangat konsisten dengan judul dan topik yang diberikan. Semua elemen y
8065,Financial statement fraud casebook : Baking the le,False,5,True,"Deskripsi sangat konsisten dengan judul dan topik buku, namun menyatakan fakta s"
13580,Khasiat Istimewa Jambu Klutuk,False,4,False,Deskripsi sistem memberikan konteks umum tentang DDC 615 yang berkaitan dengan i
5804,Consumer Behavior,False,5,True,"Deskripsi sangat konsisten dengan judul dan topik buku, namun menyatakan fakta s"
787,Princiles of air conditioning,False,5,False,"Deskripsi sangat konsisten dengan judul dan topik buku, membahas prinsip-prinsip"
6269,Sistem Kendali,False,5,True,"Deskripsi sangat konsisten dengan judul dan topik yang diberikan. Namun, terdapa"
4334,International Marketing,False,5,False,Deskripsi sangat konsisten dengan judul dan topik yang diberikan. Deskripsi menc
282,Pondasi tiang pancang,False,5,False,"Deskripsi konsisten dengan judul dan topik yang diberikan, membahas tentang desa"
266,Pengantar psikologi umum,False,5,True,Deskripsi menyebutkan konsep dan teori spesifik dalam psikologi yang tidak dapat
848,Videotape on Trial: A View from the Jury Box,False,5,True,"Deskripsi sangat konsisten dengan judul dan topik buku, namun menyatakan fakta s"
2100,Money banking and financial markets,False,5,False,Deskripsi sangat konsisten dengan judul dan topik yang diberikan. Deskripsi menc
2240,Controllership : Tugas Akuntan Manajemen,False,5,False,Deskripsi sangat konsisten dengan judul dan topik yang diberikan. Semua istilah 
5349,Faris dan Haji Obek,False,5,False,"Deskripsi konsisten dengan judul, DDC, dan topik yang diberikan. Tidak ada klaim"
6396,Jaringan irigasi teknis,False,5,False,"Deskripsi sangat konsisten dengan judul dan topik yang diangkat, serta mencakup "
237,Mikroprosesor intel,False,5,False,Deskripsi sangat konsisten dengan judul dan topik yang diberikan. Semua informas
